game_n,winner,turn_outcome
78,0,"(1, 1, 0, 1, 2, 1, 1, 1, 1, 2, 0, 2, 2, 2, 2, 2, 1, 0, 0, 0, 1, 1, 1, 2, 2, 1, 2, 2, 2, 2, 1, 2, 0, 0, 1, 2, 1, 0, 2, 0, 2, 2, 0, 1)"
79,2,"(0, 1, 1, 2, 0, 2, 1, 0, 1, 1, 0, 2, 0, 0, 1, 1, 2, 1, 2, 2, 0, 1, 2, 0, 2, 0, 0, 1, 2, 0, 0, 0, 1, 2, 2, 0, 2, 2, 1, 1, 2, 0, 2, 1, 2, 0, 1, 0, 0, 2, 2, 0, 2, 0, 0, 0, 1)"
80,0,"(1, 2, 2, 1, 2, 1, 2, 1, 2, 1, 0, 0, 2, 1, 2, 2, 2, 0, 2, 0, 2, 2, 1, 0, 2, 0, 0, 1, 2, 1, 0, 0, 1, 0, 0, 2, 1, 2, 1, 1, 1, 0, 2, 0, 0, 1, 2, 2, 2, 0, 0, 1)"
81,,"(0, 1, 1, 1, 1, 0, 2, 2, 1, 1, 0, 0, 2, 0, 1, 1, 2, 1, 2, 1, 0, 0, 1, 1, 0, 0, 2, 2, 0, 0, 2, 2, 1, 1, 0, 2, 2, 2, 2, 0, 0, 2, 0, 2, 1, 0, 2, 0, 1)"
82,5,"(1, 0, 0, 1, 0, 1, 0, 1, 1, 2, 2, 0, 1, 2, 2, 0, 0, 2, 1, 1, 2, 2, 1, 1, 1, 2, 1, 2, 0, 2, 2, 0, 1, 1, 2, 1, 2, 2, 2, 0, 2, 2, 2, 0, 0, 2, 0, 0, 2, 2, 2, 0, 2, 1)"
83,3,"(1, 1, 2, 0, 1, 0, 1, 2, 2, 1, 0, 1, 2, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 2, 1, 0, 0, 1, 2, 0, 1, 0, 0, 0, 1)"
84,4,"(1, 1, 2, 2, 1, 0, 0, 1, 2, 1, 1, 1, 0, 0, 1, 0, 1, 1, 2, 1, 2, 2, 2, 2, 0, 0, 1, 2, 1, 1, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 1, 2, 1)"
85,4,"(1, 0, 1, 2, 0, 1, 2, 0, 1, 0, 1, 1, 1, 0, 2, 1, 1, 0, 2, 1, 2, 0, 2, 2, 0, 2, 1, 2, 1, 1, 2, 0, 0, 0, 1, 1, 1)"
86,,"(0, 0, 0, 1, 0, 1, 0, 0, 2, 0, 1, 0, 0, 1, 1, 2, 1, 1, 2, 1, 2, 2, 0, 1, 2, 2, 2, 2, 1, 1, 2, 0, 1, 0, 1, 0, 1, 2, 1, 1)"
87,,"(1, 1, 1, 2, 0, 1, 0, 1, 0, 1, 2, 1, 0, 2, 2, 2, 2, 2, 2, 2, 0, 2, 2, 2, 0, 1, 1, 1, 2, 2, 0, 0, 2, 2, 2, 1, 2, 0, 1, 2, 1, 1, 1, 0, 2, 0, 2, 2, 1)"
88,,"(1, 1, 2, 1, 0, 1, 0, 2, 1, 2, 0, 0, 2, 2, 2, 0, 0, 0, 2, 1, 2, 0, 0, 1, 2, 0, 1, 0, 1, 2, 0, 0, 1, 0, 1, 2, 0, 2, 2, 0, 2, 1, 1, 2, 0, 2, 0, 2, 1, 0, 0, 2, 2, 0, 0, 1, 0, 1)"
89,2,"(1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 2, 1, 1, 2, 1, 1, 2, 2, 0, 2, 2, 1, 2, 0, 2, 2, 1, 2, 0, 2, 2, 1)"
90,1,"(1, 0, 1, 0, 1, 1, 2, 0, 1, 2, 0, 2, 2, 2, 0, 0, 2, 2, 0, 1, 1, 0, 2, 0, 2, 0, 1, 2, 0, 1, 0, 2, 1, 2, 2, 2, 0, 1, 2, 0, 1, 0, 0, 1, 0, 2, 1, 0, 2, 1, 2, 2, 2, 2, 2, 1)"
91,0,"(1, 2, 0, 2, 0, 2, 2, 1, 2, 0, 0, 1, 1, 1, 1, 0, 0, 2, 1, 0, 1, 2, 2, 2, 1, 2, 1, 0, 1, 1, 1, 0, 0, 0, 2, 2, 1, 2, 0, 0, 2, 1, 2, 0, 2, 1)"
92,4,"(1, 1, 2, 1, 2, 2, 1, 2, 2, 1, 2, 0, 0, 1, 2, 0, 2, 2, 1, 0, 2, 2, 2, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 2, 2, 2, 1, 1, 1, 2, 2, 2, 0, 0, 2, 2, 2, 0, 0, 0, 0, 2, 2, 2, 1)"
93,,"(0, 1, 0, 1, 1, 0, 2, 2, 0, 1, 2, 1, 2, 0, 2, 1, 1, 1, 2, 2, 0, 1, 1, 0, 0, 2, 1, 1, 2, 2, 2, 2, 0, 0, 1, 1, 2, 1, 2, 2, 1)"
94,1,"(1, 1, 0, 2, 2, 2, 1, 0, 1, 1, 2, 0, 1, 2, 2, 0, 1, 2, 2, 2, 2, 2, 0, 0, 1, 2, 2, 2, 1, 2, 0, 2, 0, 2, 2, 2, 1, 1, 1, 2, 0, 2, 1, 2, 1, 1, 2, 2, 1)"
95,2,"(1, 1, 1, 2, 1, 1, 0, 2, 1, 1, 2, 0, 2, 0, 1, 1, 2, 0, 0, 2, 1, 1, 1, 1, 0, 0, 1, 1, 1)"
