game_n,winner,turn_outcome
54,0,"(1, 1, 1, 2, 1, 0, 2, 0, 0, 2, 2, 0, 1, 1, 2, 1, 0, 2, 1, 1, 0, 1, 2, 2, 1, 0, 2, 0, 0, 1, 1, 0, 1, 1, 1)"
55,,"(1, 1, 1, 1, 1, 2, 0, 2, 2, 1, 1, 1, 2, 2, 2, 0, 2, 2, 2, 2, 1, 2, 1, 2, 1, 2, 1, 2, 2, 0, 2, 2, 0, 1, 0, 2, 0, 0, 0, 1, 2, 1, 2, 1)"
56,3,"(0, 0, 0, 1, 1, 2, 2, 0, 2, 1, 2, 1, 1, 2, 2, 2, 2, 1, 2, 2, 1, 2, 0, 0, 1, 2, 1, 2, 0, 0, 1, 0, 2, 1, 0, 0, 2, 1, 0, 1, 1, 2, 0, 2, 0, 1, 1)"
57,0,"(1, 1, 1, 0, 1, 1, 2, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 2, 0, 1, 1, 1, 2, 2, 2, 2, 0, 2, 1, 2, 2, 2, 2, 0, 0, 1)"
58,2,"(0, 0, 0, 1, 0, 0, 1, 2, 1, 0, 2, 0, 0, 2, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 2, 2, 1, 2, 2, 2, 0, 0, 2, 1, 1, 1, 2, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1)"
59,,"(1, 1, 2, 1, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 2, 2, 2, 2, 1, 1, 2, 2, 0, 1, 1, 2, 1, 2, 2, 1, 1)"
60,1,"(1, 0, 1, 1, 1, 0, 1, 0, 2, 2, 1, 2, 2, 2, 1, 2, 0, 2, 2, 1, 1, 1, 0, 1, 2, 2, 0, 1, 0, 0, 2, 2, 1, 0, 2, 0, 0, 2, 1, 0, 1, 0, 0, 1)"
61,4,"(0, 1, 0, 2, 2, 2, 0, 2, 1, 1, 2, 1, 1, 1, 2, 1, 2, 0, 1, 0, 2, 1, 1, 0, 2, 2, 0, 1, 1, 1, 2, 0, 2, 2, 2, 0, 2, 0, 2, 0, 0, 0, 0, 2, 2, 0, 1, 2, 2, 1, 1)"
62,,"(1, 1, 1, 2, 1, 2, 2, 0, 0, 1, 1, 1, 1, 2, 1, 2, 1, 0, 2, 0, 1, 2, 2, 1, 0, 0, 2, 1, 2, 1, 0, 0, 0, 1, 2, 1)"
63,1,"(1, 1, 1, 2, 0, 0, 2, 1, 0, 0, 1, 2, 0, 1, 2, 2, 1, 1, 0, 1, 1, 2, 0, 0, 2, 2, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 2, 2, 2, 1)"
64,4,"(0, 1, 1, 2, 1, 0, 0, 0, 1, 2, 0, 1, 0, 1, 2, 0, 0, 1, 0, 1, 2, 2, 2, 2, 1, 2, 2, 1, 2, 2, 1, 0, 2, 1, 2, 0, 2, 0, 1, 2, 1, 0, 2, 2, 0, 2, 2, 1, 1)"
65,3,"(0, 1, 0, 2, 0, 0, 1, 2, 2, 1, 1, 1, 2, 2, 2, 2, 2, 0, 2, 2, 2, 1, 2, 0, 2, 0, 2, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 2, 2, 0, 0, 1, 0, 0, 2, 0, 0, 1, 0, 2, 0, 0, 2, 0, 0, 0, 2, 1, 2, 2, 2, 0, 1)"
66,1,"(0, 1, 0, 0, 1, 1, 2, 0, 1, 0, 1, 0, 2, 0, 2, 1, 0, 0, 2, 1, 1, 1, 1, 2, 2, 2, 2, 0, 0, 0, 1, 1, 1, 0, 2, 2, 2, 0, 2, 2, 1, 2, 2, 2, 0, 0, 0, 1, 0, 2, 2, 1)"
67,2,"(1, 0, 1, 1, 2, 0, 2, 1, 0, 1, 0, 0, 0, 1, 0, 0, 2, 1, 2, 0, 1, 1, 0, 1, 1, 2, 1, 0, 0, 0, 2, 1, 2, 0, 1, 2, 0, 1, 2, 2, 1)"
68,3,"(0, 1, 0, 1, 0, 2, 0, 1, 2, 2, 0, 0, 1, 2, 1, 1, 2, 0, 0, 1, 0, 0, 0, 0, 2, 2, 1, 0, 2, 2, 0, 1, 0, 2, 2, 2, 2, 1, 0, 1, 1, 0, 1, 1, 2, 2, 0, 0, 0, 1, 2, 1)"
69,4,"(0, 1, 1, 0, 1, 0, 2, 0, 0, 0, 1, 2, 0, 1, 2, 2, 0, 1, 1, 2, 0, 1, 2, 1, 0, 1, 0, 2, 2, 0, 2, 2, 2, 1, 0, 1, 0, 2, 0, 2, 2, 0, 1, 1, 1, 0, 1)"
70,,"(1, 1, 2, 2, 1, 2, 1, 1, 1, 2, 0, 1, 0, 1, 0, 2, 0, 1, 0, 1, 2, 2, 0, 2, 1, 2, 0, 0, 1, 2, 0, 0, 0, 2, 2, 0, 1, 0, 0, 1, 1, 0, 0, 2, 1)"
71,,"(0, 1, 1, 1, 2, 2, 1, 2, 2, 2, 1, 1, 2, 2, 0, 2, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 0, 1, 0, 0, 1, 1, 1, 2, 2, 1, 0, 2, 0, 2, 0, 2, 0, 0, 0, 0, 2, 0, 2, 0, 2, 0, 0, 0, 1)"
72,0,"(1, 1, 1, 0, 2, 0, 1, 0, 1, 2, 0, 2, 1, 0, 0, 1, 2, 1, 1, 0, 2, 2, 0, 0, 1, 0, 1, 2, 2, 0, 2, 1, 0, 0, 1, 1, 2, 0, 2, 1, 0, 0, 0, 1)"
73,0,"(1, 1, 2, 1, 1, 1, 2, 0, 1, 1, 0, 1, 1, 1, 0, 0, 2, 0, 1, 2, 0, 1, 0, 1, 1, 2, 2, 0, 0, 0, 0, 2, 1, 1)"
74,0,"(1, 0, 1, 1, 2, 1, 1, 1, 2, 1, 2, 2, 1, 0, 1, 2, 1, 0, 0, 1, 0, 2, 0, 1, 1, 1, 0, 1, 0, 2, 0, 0, 0, 0, 2, 0, 1)"
75,,"(1, 1, 0, 2, 1, 2, 1, 0, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 2, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 2, 2, 0, 2, 0, 0, 2, 0, 0, 0, 2, 0, 1, 1)"
