game_n,winner,turn_outcome
33,,"(1, 1, 1, 0, 1, 0, 1, 0, 0, 2, 1, 0, 1, 0, 1, 0, 0, 2, 1, 2, 0, 0, 1, 1, 1, 1, 1, 0, 2, 0, 1, 2, 1)"
34,0,"(1, 2, 1, 1, 2, 1, 2, 1, 0, 1, 1, 1, 2, 1, 0, 1, 2, 1, 2, 0, 1, 0, 2, 1, 0, 1, 2, 0, 1, 2, 1)"
35,1,"(1, 0, 2, 0, 1, 1, 2, 2, 2, 1, 1, 0, 0, 1, 2, 1, 1, 1, 0, 1, 0, 1, 0, 2, 0, 1, 2, 2, 2, 0, 0, 1, 0, 1, 1, 0, 2, 1)"
36,1,"(1, 1, 1, 2, 0, 0, 2, 2, 1, 2, 1, 1, 0, 1, 1, 0, 2, 1, 0, 1, 1, 2, 1, 2, 2, 0, 1, 0, 0, 1, 0, 1, 1)"
37,0,"(1, 1, 1, 1, 2, 2, 1, 0, 2, 1, 1, 0, 0, 1, 0, 0, 2, 2, 0, 2, 1, 1, 1, 0, 1, 1, 1, 2, 0, 2, 2, 0, 0, 2, 1, 2, 2, 0, 1)"
38,2,"(1, 0, 1, 1, 0, 0, 2, 2, 0, 1, 2, 0, 0, 2, 1, 2, 1, 0, 0, 1, 2, 0, 2, 2, 0, 0, 0, 2, 0, 1, 0, 1, 1, 0, 2, 2, 1, 1, 1, 1, 1, 0, 1)"
39,3,"(1, 1, 0, 2, 0, 1, 0, 1, 1, 1, 1, 0, 1, 2, 1, 1, 2, 0, 1, 0, 2, 1, 1, 0, 2, 1, 2, 2, 2, 1, 0, 2, 0, 2, 0, 1)"
40,4,"(1, 1, 1, 2, 0, 1, 2, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 2, 1, 2, 1, 2, 1, 0, 0, 2, 0, 0, 1, 2, 0, 1)"
41,0,"(1, 1, 2, 2, 2, 1, 1, 0, 0, 1, 2, 2, 1, 0, 1, 0, 1, 0, 2, 0, 1, 0, 2, 0, 1, 1, 2, 2, 0, 0, 0, 1, 1, 2, 0, 0, 0, 1, 2, 1, 1)"
42,1,"(1, 1, 0, 0, 2, 0, 1, 0, 0, 1, 1, 0, 2, 1, 0, 1, 0, 1, 0, 1, 0, 2, 1, 0, 0, 2, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 0, 2, 2, 0, 2, 0, 0, 1)"
43,3,"(1, 1, 2, 2, 2, 1, 0, 1, 1, 1, 1, 0, 2, 2, 2, 1, 0, 2, 1, 2, 0, 1, 0, 1, 2, 0, 0, 2, 2, 0, 1, 2, 1, 2, 0, 2, 1, 2, 2, 0, 0, 1, 0, 2, 2, 2, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 1)"
44,2,"(1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 2, 2, 1, 0, 2, 1, 0, 1, 1, 2, 1, 0, 2, 1, 1, 1, 2, 0, 0, 1, 0, 0, 1)"
45,2,"(1, 0, 1, 0, 2, 0, 0, 1, 2, 0, 1, 0, 2, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 2, 0, 2, 0, 1, 1, 2, 0, 1, 1, 0, 0, 1, 0, 0, 1)"
46,2,"(0, 1, 1, 0, 2, 1, 2, 1, 2, 1, 0, 2, 2, 1, 0, 2, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 2, 1, 0, 1, 0, 1, 1, 0, 2, 2, 2, 1)"
47,3,"(1, 1, 1, 1, 0, 1, 2, 1, 1, 0, 1, 1, 2, 1, 2, 0, 0, 2, 2, 0, 0, 1, 1, 1, 0, 2, 0, 2, 2, 1, 0, 2, 0, 1, 0, 1)"
48,0,"(1, 1, 0, 1, 1, 2, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 2, 0, 2, 2, 2, 1, 0, 2, 1, 1, 2, 2, 0, 2, 1, 0, 2, 1)"
49,0,"(1, 1, 1, 0, 2, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 2, 2, 2, 1, 2, 2, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1)"
50,0,"(1, 1, 1, 2, 1, 1, 2, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 0, 2, 0, 1)"
51,0,"(0, 1, 0, 1, 0, 1, 0, 1, 1, 2, 1, 1, 2, 0, 1, 2, 1, 0, 0, 0, 2, 1, 1, 0, 1, 2, 2, 0, 1, 1, 2, 0, 1, 2, 2, 0, 1)"
52,4,"(0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 2, 1, 2, 1, 1, 0, 2, 0, 0, 2, 0, 2, 1, 1, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1)"
53,,"(0, 1, 2, 0, 1, 2, 2, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 2, 0, 0, 2, 2, 0, 1, 1, 1, 2, 0, 0, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 1, 1, 1, 2, 1)"
54,2,"(0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 0, 1)"
55,2,"(1, 2, 1, 0, 1, 2, 2, 0, 1, 2, 2, 2, 0, 1, 2, 2, 2, 1, 2, 1, 2, 0, 0, 1, 0, 1, 1, 1, 0, 1, 2, 2, 2, 2, 2, 2, 1, 1, 0, 1, 0, 0, 2, 2, 0, 1)"
56,1,"(1, 2, 0, 2, 1, 2, 1, 1, 2, 1, 1, 1, 0, 0, 2, 2, 1, 2, 2, 2, 2, 1, 2, 1, 0, 1, 1, 1, 0, 2, 2, 1, 0, 2, 1, 0, 0, 1)"
57,,"(1, 0, 0, 1, 1, 1, 0, 2, 0, 0, 1, 0, 1, 0, 2, 0, 2, 0, 2, 1, 2, 2, 1, 2, 0, 2, 2, 0, 1, 1, 2, 0, 2, 1, 2, 0, 1, 2, 0, 0, 1, 2, 1, 1, 2, 0, 0, 0, 0, 2, 2, 1)"
58,,"(1, 1, 1, 1, 0, 2, 1, 2, 0, 2, 0, 1, 1, 1, 1, 2, 1, 2, 2, 2, 0, 0, 1, 2, 1, 2, 1, 0, 2, 0, 2, 1, 2, 1, 2, 1)"
59,0,"(1, 1, 0, 2, 1, 0, 1, 1, 1, 0, 2, 0, 0, 1, 1, 0, 1, 2, 1, 0, 1, 1, 1, 0, 1, 2, 0, 2, 2, 0, 2, 2, 2, 2, 0, 1, 2, 0, 0, 1)"
60,2,"(1, 1, 0, 1, 1, 2, 1, 2, 2, 1, 0, 0, 1, 1, 0, 1, 2, 2, 1, 0, 0, 1, 0, 1, 2, 0, 0, 2, 0, 0, 1, 2, 1, 0, 2, 2, 0, 1, 2, 2, 0, 1)"
