game_n,winner,turn_outcome
36,,"(0, 0, 1, 1, 2, 1, 0, 1, 2, 2, 1, 1, 0, 2, 2, 0, 2, 1, 2, 1, 1, 2, 1, 2, 1, 2, 0, 0, 1, 0, 2, 2, 2, 0, 0, 0, 2, 0, 2, 2, 2, 0, 2, 2, 0, 2, 1, 0, 0, 0, 2, 2, 0, 2, 0, 0, 2, 2, 2, 0, 0, 2, 0, 1, 1, 2, 0, 2, 0, 0, 1)"
37,6,"(1, 2, 0, 1, 2, 2, 1, 1, 1, 0, 1, 0, 0, 2, 1, 1, 1, 1, 2, 0, 2, 1, 0, 2, 1, 0, 2, 2, 1, 2, 1, 0, 2, 1, 2, 0, 1)"
38,,"(1, 1, 0, 1, 2, 1, 0, 2, 1, 1, 1, 2, 0, 2, 2, 2, 0, 1, 2, 2, 2, 2, 2, 1, 1, 0, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 0, 0, 1, 1, 0, 0, 1, 1)"
39,3,"(0, 1, 2, 1, 1, 1, 1, 0, 2, 2, 0, 0, 1, 0, 2, 0, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 0, 2, 0, 2, 2, 2, 1, 2, 2, 1, 2, 2, 2, 1)"
40,5,"(1, 1, 1, 0, 0, 2, 1, 1, 0, 1, 2, 0, 2, 0, 2, 1, 0, 2, 1, 2, 1, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0, 2, 0, 1, 1, 0, 1, 0, 2, 1, 2, 0, 2, 1)"
41,5,"(1, 1, 1, 0, 1, 1, 1, 0, 2, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 2, 0, 0, 2, 1, 1, 0, 0, 1, 2, 0, 0, 1, 2, 2, 0, 2, 0, 0, 0, 2, 0, 1)"
42,,"(1, 1, 1, 2, 0, 1, 2, 0, 1, 1, 2, 2, 2, 2, 1, 1, 1, 2, 0, 2, 2, 2, 0, 1, 2, 1, 0, 2, 1, 1, 2, 1, 0, 0, 1, 2, 2, 0, 1)"
43,6,"(1, 1, 1, 2, 2, 2, 1, 0, 1, 0, 2, 0, 1, 1, 0, 2, 1, 0, 2, 0, 2, 2, 2, 0, 0, 0, 2, 1, 0, 0, 1, 2, 0, 0, 2, 2, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2, 0, 2, 1, 0, 1, 2, 2, 0, 2, 1, 0, 1)"
44,0,"(1, 0, 0, 0, 1, 1, 2, 2, 2, 1, 2, 1, 0, 1, 0, 1, 2, 1, 0, 1, 0, 1, 1, 0, 2, 1, 1, 2, 2, 0, 0, 0, 1, 2, 0, 2, 2, 1, 2, 0, 1)"
45,6,"(1, 0, 0, 1, 1, 1, 0, 2, 1, 0, 2, 1, 2, 0, 2, 1, 2, 0, 1, 2, 1, 1, 2, 2, 1, 2, 2, 1, 2, 0, 0, 1, 0, 2, 2, 0, 2, 2, 2, 2, 0, 2, 0, 0, 0, 0, 1, 1, 2, 0, 0, 2, 1)"
46,6,"(1, 0, 1, 1, 2, 0, 0, 2, 2, 1, 2, 1, 2, 0, 0, 1, 2, 1, 0, 1, 2, 0, 0, 2, 0, 1, 2, 2, 2, 1, 2, 0, 1, 0, 2, 2, 0, 1, 2, 0, 0, 2, 1, 0, 2, 2, 0, 0, 1, 0, 1, 2, 2, 0, 2, 2, 1)"
47,,"(1, 1, 2, 0, 1, 0, 1, 2, 0, 0, 1, 0, 1, 0, 1, 0, 1, 2, 1, 0, 1, 0, 0, 2, 2, 1, 0, 2, 1, 2, 2, 1, 0, 2, 0, 1, 1, 2, 0, 0, 1)"
48,5,"(1, 0, 0, 2, 1, 0, 0, 1, 1, 2, 2, 1, 1, 2, 1, 2, 2, 0, 0, 2, 2, 0, 2, 0, 1, 1, 1, 0, 2, 0, 0, 0, 0, 2, 0, 1, 1, 0, 2, 1, 0, 2, 2, 2, 1, 2, 1, 2, 2, 0, 2, 0, 0, 1)"
49,,"(1, 2, 2, 1, 0, 1, 0, 1, 1, 2, 0, 0, 0, 2, 2, 1, 0, 1, 2, 2, 0, 2, 2, 1, 0, 2, 0, 2, 0, 0, 0, 1, 0, 1, 2, 2, 1, 1, 0, 1, 2, 2, 1, 1, 2, 2, 2, 2, 0, 2, 2, 1)"
50,4,"(1, 0, 1, 1, 2, 1, 0, 2, 1, 1, 2, 0, 0, 0, 2, 0, 2, 1, 1, 1, 2, 1, 2, 2, 1, 0, 0, 2, 2, 2, 2, 2, 2, 1, 0, 1, 2, 2, 2, 2, 2, 0, 0, 1, 0, 0, 1, 2, 2, 2, 1)"
51,3,"(1, 0, 1, 1, 1, 2, 2, 0, 2, 0, 2, 0, 1, 1, 1, 2, 0, 1, 2, 0, 2, 1, 0, 2, 1, 1, 2, 0, 2, 1, 2, 2, 2, 1, 0, 2, 0, 2, 1, 0, 2, 2, 0, 0, 1, 2, 1)"
52,5,"(1, 0, 0, 1, 0, 0, 1, 1, 0, 2, 2, 0, 0, 0, 1, 2, 1, 0, 1, 2, 0, 2, 2, 0, 2, 1, 2, 0, 0, 0, 2, 1, 2, 2, 2, 1, 1, 2, 2, 0, 2, 0, 1, 0, 1, 1, 2, 0, 2, 1, 0, 2, 0, 0, 0, 2, 2, 0, 2, 0, 2, 2, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1)"
53,1,"(1, 0, 2, 1, 0, 2, 2, 2, 2, 1, 1, 1, 2, 2, 0, 2, 0, 1, 2, 0, 2, 1, 0, 0, 2, 1, 0, 2, 2, 2, 1, 0, 2, 0, 1, 2, 1, 0, 0, 0, 2, 1, 1, 2, 2, 1, 2, 0, 0, 0, 2, 0, 2, 2, 2, 2, 1, 0, 2, 2, 2, 0, 0, 0, 2, 1)"
54,6,"(1, 1, 0, 1, 0, 2, 2, 1, 1, 1, 2, 0, 0, 1, 0, 1, 2, 0, 2, 2, 1, 2, 2, 1, 1, 2, 2, 1, 0, 1, 2, 0, 2, 2, 2, 2, 1, 0, 1, 0, 2, 2, 2, 0, 0, 1)"
55,0,"(0, 1, 0, 1, 1, 2, 0, 2, 0, 1, 1, 0, 2, 0, 2, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 2, 0, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 2, 2, 1, 0, 0, 1, 0, 2, 2, 0, 1)"
56,1,"(0, 1, 1, 1, 2, 0, 2, 2, 1, 0, 2, 1, 0, 2, 2, 2, 0, 1, 0, 1, 2, 2, 1, 2, 2, 1, 2, 2, 2, 0, 2, 0, 1, 1, 0, 2, 1, 0, 0, 2, 1, 2, 2, 2, 0, 0, 0, 2, 2, 0, 2, 2, 2, 0, 0, 2, 0, 1, 1, 0, 2, 0, 2, 2, 2, 0, 2, 2, 1)"
57,6,"(1, 1, 0, 1, 0, 1, 2, 2, 0, 2, 2, 1, 1, 1, 0, 2, 0, 2, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 2, 1, 0, 1)"
58,2,"(1, 2, 1, 2, 1, 0, 2, 1, 2, 1, 0, 2, 1, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 2, 1, 2, 1, 1, 0, 2, 2, 2, 2, 0, 0, 0, 1, 2, 0, 1, 2, 2, 1, 0, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 0, 0, 2, 2, 0, 1)"
59,1,"(0, 1, 1, 2, 2, 2, 1, 1, 1, 0, 2, 2, 1, 1, 0, 1, 2, 0, 0, 1, 1, 2, 2, 0, 2, 2, 1, 1, 1, 2, 0, 1, 2, 2, 2, 2, 2, 2, 0, 0, 0, 2, 1, 2, 2, 2, 2, 0, 0, 2, 2, 1)"
60,1,"(1, 1, 2, 1, 0, 0, 2, 1, 0, 0, 1, 1, 2, 2, 0, 0, 0, 2, 2, 2, 1, 1, 2, 0, 0, 2, 0, 1, 2, 2, 1, 1, 2, 2, 2, 1, 1, 0, 0, 0, 0, 2, 1, 2, 1, 0, 0, 0, 0, 0, 1)"
61,3,"(1, 0, 1, 1, 2, 2, 1, 0, 2, 0, 2, 1, 1, 2, 0, 1, 2, 1, 0, 1, 0, 2, 0, 0, 2, 0, 1, 1, 2, 2, 0, 2, 0, 0, 1, 1, 0, 0, 2, 0, 0, 1, 2, 0, 0, 1, 0, 2, 0, 0, 2, 0, 1)"
62,6,"(1, 1, 0, 0, 2, 1, 1, 2, 2, 0, 1, 0, 2, 1, 0, 1, 0, 2, 2, 2, 2, 0, 2, 0, 2, 0, 0, 0, 0, 2, 0, 0, 1, 2, 2, 2, 2, 2, 2, 0, 0, 1, 2, 0, 0, 2, 0, 1, 1, 0, 0, 2, 0, 2, 2, 0, 2, 2, 2, 0, 2, 0, 0, 1, 0, 1, 1, 2, 0, 2, 2, 1, 2, 1)"
63,3,"(1, 2, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 2, 0, 1, 2, 0, 2, 1, 2, 2, 2, 2, 1, 2, 0, 2, 0, 2, 2, 0, 1, 2, 2, 0, 2, 1, 2, 0, 0, 2, 2, 0, 1, 1)"
64,,"(0, 1, 1, 2, 0, 0, 0, 1, 1, 2, 0, 1, 1, 2, 1, 0, 1, 1, 2, 0, 1, 1, 1, 0, 1, 1, 2, 1, 1)"
65,2,"(1, 0, 1, 1, 0, 1, 0, 2, 0, 2, 1, 0, 1, 2, 2, 1, 2, 0, 2, 0, 1, 1, 0, 2, 0, 1, 2, 1, 2, 1, 1, 0, 2, 2, 0, 2, 2, 2, 0, 2, 1, 0, 0, 2, 2, 2, 2, 0, 0, 2, 0, 2, 0, 1, 2, 0, 0, 0, 1)"
66,6,"(1, 1, 0, 1, 2, 2, 2, 0, 2, 0, 2, 0, 1, 2, 2, 1, 0, 0, 1, 0, 2, 0, 0, 0, 1, 0, 1, 2, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 2, 0, 2, 2, 0, 1, 1)"
67,,"(1, 1, 2, 1, 2, 2, 1, 0, 0, 1, 2, 2, 1, 1, 1, 1, 2, 0, 2, 1, 1, 2, 0, 2, 0, 2, 2, 2, 0, 2, 1, 1, 2, 2, 2, 0, 1, 2, 2, 2, 0, 0, 1, 2, 0, 2, 0, 2, 2, 0, 2, 1)"
68,1,"(1, 0, 1, 2, 1, 2, 2, 0, 0, 1, 1, 2, 2, 1, 1, 2, 0, 1, 2, 0, 0, 0, 1, 2, 0, 1, 1, 1, 2, 2, 2, 0, 1, 0, 1, 2, 1, 0, 0, 2, 0, 0, 2, 2, 0, 0, 0, 0, 1)"
69,5,"(1, 1, 1, 2, 2, 1, 2, 1, 1, 0, 2, 0, 2, 2, 2, 0, 1, 0, 2, 0, 0, 2, 2, 1, 1, 0, 2, 2, 2, 0, 1, 0, 2, 1, 0, 0, 0, 1, 1, 0, 1, 0, 2, 0, 0, 2, 1, 2, 1)"
70,5,"(0, 1, 1, 1, 0, 0, 1, 2, 2, 2, 1, 2, 2, 0, 0, 1, 1, 1, 2, 0, 2, 2, 0, 2, 0, 1, 1, 0, 0, 0, 1, 1, 2, 2, 0, 1, 0, 0, 2, 0, 2, 1, 2, 2, 0, 2, 0, 2, 2, 0, 2, 0, 1, 2, 2, 1)"
71,0,"(1, 2, 1, 2, 0, 2, 1, 1, 2, 2, 0, 0, 2, 0, 2, 2, 1, 2, 0, 2, 1, 2, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 2, 2, 0, 0, 2, 2, 0, 0, 0, 2, 2, 1)"
72,1,"(1, 1, 0, 1, 1, 2, 2, 2, 1, 2, 2, 2, 2, 0, 2, 1, 1, 0, 2, 1, 2, 0, 2, 0, 2, 1, 2, 0, 0, 1, 0, 1, 0, 1, 1, 1, 2, 2, 0, 0, 0, 0, 1, 2, 1)"
73,2,"(1, 0, 0, 2, 1, 1, 1, 0, 0, 2, 2, 2, 0, 0, 1, 2, 1, 1, 1, 2, 1, 2, 0, 2, 2, 0, 0, 0, 2, 2, 2, 1, 0, 0, 0, 1, 0, 2, 1, 2, 0, 0, 1, 1, 1, 0, 2, 2, 2, 2, 0, 1)"
74,6,"(1, 1, 0, 2, 1, 0, 1, 1, 1, 2, 0, 0, 2, 1, 0, 1, 0, 2, 0, 2, 1, 2, 2, 1, 0, 0, 0, 1, 2, 2, 1, 1, 2, 0, 0, 2, 0, 1, 2, 2, 2, 1, 2, 0, 2, 2, 2, 0, 1)"
75,5,"(1, 0, 1, 2, 1, 0, 0, 1, 2, 2, 0, 1, 0, 0, 2, 2, 2, 2, 2, 2, 1, 1, 2, 1, 2, 2, 1, 1, 2, 0, 1, 0, 2, 2, 2, 0, 2, 2, 2, 0, 2, 1, 1, 1, 0, 0, 0, 1, 1)"
76,,"(1, 2, 0, 1, 1, 2, 1, 2, 0, 0, 1, 2, 1, 2, 2, 1, 0, 0, 1, 1, 2, 2, 1, 2, 2, 2, 2, 1, 2, 2, 0, 0, 2, 0, 0, 1, 0, 1, 2, 2, 0, 2, 1, 2, 2, 2, 2, 2, 2, 0, 0, 2, 0, 0, 0, 0, 2, 2, 0, 2, 2, 1, 2, 0, 2, 2, 2, 1)"
77,0,"(1, 0, 0, 1, 0, 1, 1, 0, 1, 2, 1, 2, 2, 0, 2, 0, 2, 1, 1, 1, 1, 1, 2, 0, 0, 2, 2, 0, 0, 2, 0, 0, 0, 1, 1, 0, 2, 2, 2, 2, 2, 0, 0, 0, 2, 2, 1, 0, 2, 1, 0, 0, 0, 0, 1)"
78,3,"(1, 1, 1, 0, 0, 2, 2, 1, 1, 2, 2, 0, 0, 2, 1, 2, 2, 1, 0, 1, 2, 0, 0, 2, 1, 1, 0, 0, 2, 0, 1, 2, 2, 0, 2, 0, 2, 2, 2, 1, 2, 1, 0, 0, 0, 1, 1, 1)"
